"";"statistic";"signif.level";"dif.com.obs.dif";"dif.com.critical.dif";"dif.com.difference"
"agm_100_10100_0.9_allComponents-agm_100_10100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;8,9;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_100_30100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;59,7;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_100_30100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;61;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;103,2;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;111,8;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;125,5;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;128,8;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;34;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;37,8;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;84,4;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;91,8;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;46,4;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;21;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;105,8;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;102,2;83,7271488159369;TRUE
"agm_100_10100_0.9_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;11,3;83,7271488159369;FALSE
"agm_100_10100_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;11,2;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_100_30100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;50,8;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_100_30100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;52,1;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;94,3;83,7271488159369;TRUE
"agm_100_10100_1.0_allComponents-agm_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;102,9;83,7271488159369;TRUE
"agm_100_10100_1.0_allComponents-agm_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;116,6;83,7271488159369;TRUE
"agm_100_10100_1.0_allComponents-agm_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;119,9;83,7271488159369;TRUE
"agm_100_10100_1.0_allComponents-agm_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;25,1;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;28,9;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;75,5;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;82,9;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;37,5;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;12,1;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;96,9;83,7271488159369;TRUE
"agm_100_10100_1.0_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;93,3;83,7271488159369;TRUE
"agm_100_10100_1.0_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;20,2;83,7271488159369;FALSE
"agm_100_10100_1.0_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;20,1;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_100_30100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;1,30000000000001;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;43,5;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;52,1;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;65,8;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;69,1;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;25,7;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;21,9;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;24,7;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;32,1;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;13,3;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;38,7;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;46,1;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;42,5;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;71;83,7271488159369;FALSE
"agm_100_30100_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;70,9;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_100_90100_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;42,2;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;50,8;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;64,5;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;67,8;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;27;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;23,2;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;23,4;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;30,8;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;14,6;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;40;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;44,8;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;41,2;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;72,3;83,7271488159369;FALSE
"agm_100_30100_1.0_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;72,2;83,7271488159369;FALSE
"agm_100_90100_0.9_allComponents-agm_100_90100_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;8,59999999999999;83,7271488159369;FALSE
"agm_100_90100_0.9_allComponents-agm_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;22,3;83,7271488159369;FALSE
"agm_100_90100_0.9_allComponents-agm_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;25,6;83,7271488159369;FALSE
"agm_100_90100_0.9_allComponents-agm_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;69,2;83,7271488159369;FALSE
"agm_100_90100_0.9_allComponents-agm_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;65,4;83,7271488159369;FALSE
"agm_100_90100_0.9_allComponents-agm_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;18,8;83,7271488159369;FALSE
"agm_100_90100_0.9_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;11,4;83,7271488159369;FALSE
"agm_100_90100_0.9_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;56,8;83,7271488159369;FALSE
"agm_100_90100_0.9_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;82,2;83,7271488159369;FALSE
"agm_100_90100_0.9_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;2,59999999999999;83,7271488159369;FALSE
"agm_100_90100_0.9_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;1;83,7271488159369;FALSE
"agm_100_90100_0.9_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;114,5;83,7271488159369;TRUE
"agm_100_90100_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;114,4;83,7271488159369;TRUE
"agm_100_90100_1.0_allComponents-agm_200_180200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;13,7;83,7271488159369;FALSE
"agm_100_90100_1.0_allComponents-agm_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;17;83,7271488159369;FALSE
"agm_100_90100_1.0_allComponents-agm_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;77,8;83,7271488159369;FALSE
"agm_100_90100_1.0_allComponents-agm_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;74;83,7271488159369;FALSE
"agm_100_90100_1.0_allComponents-agm_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;27,4;83,7271488159369;FALSE
"agm_100_90100_1.0_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;20;83,7271488159369;FALSE
"agm_100_90100_1.0_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;65,4;83,7271488159369;FALSE
"agm_100_90100_1.0_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;90,8;83,7271488159369;TRUE
"agm_100_90100_1.0_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;6;83,7271488159369;FALSE
"agm_100_90100_1.0_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;9,59999999999999;83,7271488159369;FALSE
"agm_100_90100_1.0_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;123,1;83,7271488159369;TRUE
"agm_100_90100_1.0_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;123;83,7271488159369;TRUE
"agm_200_180200_0.9_allComponents-agm_200_180200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;3,29999999999998;83,7271488159369;FALSE
"agm_200_180200_0.9_allComponents-agm_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;91,5;83,7271488159369;TRUE
"agm_200_180200_0.9_allComponents-agm_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;87,7;83,7271488159369;TRUE
"agm_200_180200_0.9_allComponents-agm_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;41,1;83,7271488159369;FALSE
"agm_200_180200_0.9_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;33,7;83,7271488159369;FALSE
"agm_200_180200_0.9_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;79,1;83,7271488159369;FALSE
"agm_200_180200_0.9_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;104,5;83,7271488159369;TRUE
"agm_200_180200_0.9_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;19,7;83,7271488159369;FALSE
"agm_200_180200_0.9_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;23,3;83,7271488159369;FALSE
"agm_200_180200_0.9_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;136,8;83,7271488159369;TRUE
"agm_200_180200_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;136,7;83,7271488159369;TRUE
"agm_200_180200_1.0_allComponents-agm_200_20200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;94,8;83,7271488159369;TRUE
"agm_200_180200_1.0_allComponents-agm_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;91;83,7271488159369;TRUE
"agm_200_180200_1.0_allComponents-agm_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;44,4;83,7271488159369;FALSE
"agm_200_180200_1.0_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;37;83,7271488159369;FALSE
"agm_200_180200_1.0_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;82,4;83,7271488159369;FALSE
"agm_200_180200_1.0_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;107,8;83,7271488159369;TRUE
"agm_200_180200_1.0_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;23;83,7271488159369;FALSE
"agm_200_180200_1.0_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;26,6;83,7271488159369;FALSE
"agm_200_180200_1.0_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;140,1;83,7271488159369;TRUE
"agm_200_180200_1.0_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;140;83,7271488159369;TRUE
"agm_200_20200_0.9_allComponents-agm_200_20200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;3,8;83,7271488159369;FALSE
"agm_200_20200_0.9_allComponents-agm_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;50,4;83,7271488159369;FALSE
"agm_200_20200_0.9_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;57,8;83,7271488159369;FALSE
"agm_200_20200_0.9_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;12,4;83,7271488159369;FALSE
"agm_200_20200_0.9_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;13;83,7271488159369;FALSE
"agm_200_20200_0.9_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;71,8;83,7271488159369;FALSE
"agm_200_20200_0.9_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;68,2;83,7271488159369;FALSE
"agm_200_20200_0.9_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;45,3;83,7271488159369;FALSE
"agm_200_20200_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;45,2;83,7271488159369;FALSE
"agm_200_20200_1.0_allComponents-agm_200_60200_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;46,6;83,7271488159369;FALSE
"agm_200_20200_1.0_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;54;83,7271488159369;FALSE
"agm_200_20200_1.0_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;8,59999999999999;83,7271488159369;FALSE
"agm_200_20200_1.0_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;16,8;83,7271488159369;FALSE
"agm_200_20200_1.0_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;68;83,7271488159369;FALSE
"agm_200_20200_1.0_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;64,4;83,7271488159369;FALSE
"agm_200_20200_1.0_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;49,1;83,7271488159369;FALSE
"agm_200_20200_1.0_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;49;83,7271488159369;FALSE
"agm_200_60200_0.9_allComponents-agm_200_60200_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;7,40000000000001;83,7271488159369;FALSE
"agm_200_60200_0.9_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;38;83,7271488159369;FALSE
"agm_200_60200_0.9_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;63,4;83,7271488159369;FALSE
"agm_200_60200_0.9_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;21,4;83,7271488159369;FALSE
"agm_200_60200_0.9_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;17,8;83,7271488159369;FALSE
"agm_200_60200_0.9_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;95,7;83,7271488159369;TRUE
"agm_200_60200_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;95,6;83,7271488159369;TRUE
"agm_200_60200_1.0_allComponents-agm_50_15050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;45,4;83,7271488159369;FALSE
"agm_200_60200_1.0_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;70,8;83,7271488159369;FALSE
"agm_200_60200_1.0_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;14;83,7271488159369;FALSE
"agm_200_60200_1.0_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;10,4;83,7271488159369;FALSE
"agm_200_60200_1.0_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;103,1;83,7271488159369;TRUE
"agm_200_60200_1.0_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;103;83,7271488159369;TRUE
"agm_50_15050_0.9_allComponents-agm_50_15050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;25,4;83,7271488159369;FALSE
"agm_50_15050_0.9_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;59,4;83,7271488159369;FALSE
"agm_50_15050_0.9_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;55,8;83,7271488159369;FALSE
"agm_50_15050_0.9_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;57,7;83,7271488159369;FALSE
"agm_50_15050_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;57,6;83,7271488159369;FALSE
"agm_50_15050_1.0_allComponents-agm_50_45050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;84,8;83,7271488159369;TRUE
"agm_50_15050_1.0_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;81,2;83,7271488159369;FALSE
"agm_50_15050_1.0_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;32,3;83,7271488159369;FALSE
"agm_50_15050_1.0_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;32,2;83,7271488159369;FALSE
"agm_50_45050_0.9_allComponents-agm_50_45050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;3,59999999999999;83,7271488159369;FALSE
"agm_50_45050_0.9_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;117,1;83,7271488159369;TRUE
"agm_50_45050_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;117;83,7271488159369;TRUE
"agm_50_45050_1.0_allComponents-agm_50_5050_0.9_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;113,5;83,7271488159369;TRUE
"agm_50_45050_1.0_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;113,4;83,7271488159369;TRUE
"agm_50_5050_0.9_allComponents-agm_50_5050_1.0_allComponents";"Multiple comparison test after Kruskal-Wallis";0,05;0,0999999999999979;83,7271488159369;FALSE
